[rosmaster.master][INFO] 2018-10-05 16:53:56,493: +PARAM [/duckbot12/tag_detections_image/compressedDepth/depth_max] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,503: +PARAM [/duckbot12/tag_detections_image/compressedDepth/depth_quantization] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,508: +PARAM [/duckbot12/image_color/compressed/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,520: +PUB [/duckbot12/image_color] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,524: +PARAM [/duckbot12/tag_detections_image/compressedDepth/png_level] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,540: +PUB [/duckbot12/image_color/theora] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,547: +PUB [/duckbot12/tag_detections_image/compressed] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,563: +SERVICE [/duckbot12/tag_detections_image/compressed/set_parameters] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,576: +SERVICE [/duckbot12/image_color/theora/set_parameters] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,586: +PUB [/duckbot12/tag_detections_image/compressed/parameter_descriptions] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,598: +PUB [/duckbot12/image_color/theora/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,605: +PUB [/duckbot12/tag_detections_image/compressed/parameter_updates] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,617: +PUB [/duckbot12/image_color/theora/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,655: +PARAM [/duckbot12/tag_detections_image/compressed/format] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,671: +PARAM [/duckbot12/tag_detections_image/compressed/jpeg_quality] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,689: +PARAM [/duckbot12/tag_detections_image/compressed/png_level] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,697: +PARAM [/duckbot12/image_color/theora/optimize_for] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,702: +PARAM [/duckbot12/tag_detections_image/compressed/format] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,710: +PARAM [/duckbot12/tag_detections_image/compressed/jpeg_quality] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,714: +PARAM [/duckbot12/image_color/theora/target_bitrate] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,725: +PARAM [/duckbot12/tag_detections_image/compressed/png_level] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,739: +PUB [/duckbot12/tag_detections_image] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,746: +PARAM [/duckbot12/image_color/theora/quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,753: +PARAM [/duckbot12/image_color/theora/keyframe_frequency] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,759: +PUB [/duckbot12/tag_detections_image/theora] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,767: +PARAM [/duckbot12/image_color/theora/optimize_for] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,777: +SERVICE [/duckbot12/tag_detections_image/theora/set_parameters] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,789: +PARAM [/duckbot12/image_color/theora/target_bitrate] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,804: +PUB [/duckbot12/tag_detections_image/theora/parameter_descriptions] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,810: +PARAM [/duckbot12/image_color/theora/quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,819: +PARAM [/duckbot12/image_color/theora/keyframe_frequency] by /duckbot12/image_proc_node
